Region,Region Type,Year,Residential Property Tax,Commercial Property Tax,Seasonal Property Tax,"Forest Property Tax (50,000 acres or more)",Total Commercial Property Revenue,Resource Taxable assessments,"Forest property tax (less than 50,000 acres)",Total Resource Revenue,Recreation property tax,Wind farm payment from Province of NS,Farm property acreage payment from Province of NS,Conservation payment from Province of NS,Total Other Assessable Property Tax Revenue,Bell Aliant - based on revenues,Wind farm taxes from developers,Other special tax agreements or legislation,Total Special Tax Agreement Revenue,Subtotal Assessable Property,"Area rates, uniform charges, and special assessments",Sewer rates/charges,Taxes and rates collected for other Governments/ Agencies,Less: Transmission of taxes and rates collected for other Govs/Agencies,"Total Other Rates, Charges and Assessments",Deed transfer tax,Other Taxes,Total Other Tax Revenue,Appropriations to regional school board,Transfer to correctional services,Deficit of Regional Housing Authority,Total Expenditures as a Reduction of Tax Revenue,NET PROPERTY TAXES AND PAYMENTS IN LIEU OF TAXES,Federal government and federal government agencies Grant in Lieu,PILT payment,Fire protection,Other Grant in Lieu,Total Provincial Government and Agencies Grants in Lieu of Taxes,TOTAL GRANTS IN LIEU OF TAXES,Service Provided to Federal government,Service Provided to Provincial government,Service Provided to Other local governments,TOTAL SERVICES PROVIDED TO OTHER GOVERNMENTS,General government services,Protective services,Transportation services - Transit,Transportation services - Other,Environmental health services,Public health services,Environmental development services,Recreation and cultural services,Wind power,Other services,TOTAL SALES OF SERVICES,Licenses and permits,Fines,Rentals,Concessions and franchises,Return on investments,Penalties and interest on taxes,Miscellaneous,TOTAL OTHER REVENUE FROM OWN SOURCES,Municipal Grants Act - Equalization and Town Foundation,NSPI - Grant in lieu of taxes,NSPI - HST offset,Federal government and federal government agencies Unconditional Transfers,Provincial government and provincial government agencies,Other Unconditional Transfers,TOTAL UNCONDITIONAL TRANSFERS FROM OTHER GOVERNMENTS,Gas tax revenues,Federal government and federal government agencies Conditional Transfers,Provincial government and provincial agencies,Other local governments Conditional Transfers,TOTAL CONDITIONAL TRANSFERS FROM OTHER GOVERNMENTS,Net Income from Government Business Enterprises,Water Fund Revenues,Electric Fund Revenues,TOTAL REVENUE,Mayor/Warden Remuneration,Mayor/Warden Wxpenses,Council Remuneration,Council Expenses,Other legislative services,Total Legislative Expenses,General administrative and financial management services,Tax rebates or cancellations (MGA),Transfer for assessment services,Other taxation,Total General Administrative Expenses,Valuation Allowances,General Gov Interest on long-term debt,General Gov Short-term interest and other debt charges,"General gov amortization, gain / loss, writedowns on capital assets",Other general government services,TOTAL GENERAL GOVERNMENT SERVICES,Police protection,Water supply and hydrants,Other fire protection,Total Fire Protection,Protective Services Interest on long-term debt,Protective Services Short-term interest and other debt charges,"Protective Services Amortization, gain / loss, writedowns on capital assets",Other protective services,TOTAL PROTECTIVE SERVICES,Common services,Road transport,Air transport,Water transport,Public transit,Transportation Interest on long-term debt,Transportation Short-term interest and other debt charges,"Transportation Amortization, gain / loss, writedowns on capital assets",Other transportation services,TOTAL TRANSPORTATION SERVICES,Sewage collection and disposal,Garbage and waste collection and disposal,Transfer to the capital reserve for landfill closure/ post-closure costs,Other current expenditures for landfill costs,Total Municipal Landfill Expenses,Environmental Health Interest on long-term debt,Environmental Health Short-term interest and other debt charges,"Environmental Health Amortization, gain / loss, writedowns on capital assets",Other environmental health services,TOTAL ENVIRONMENTAL HEALTH SERVICES,Public Health,Public Health Interest on long-term debt,Public health Short-term interest and other debt charges,"Public Health Amortization, gain / loss, writedowns on capital assets",Other public health services,TOTAL PUBLIC HEALTH SERVICES,Environmental planning and zoning,Community development,Environmental Development Interest on long-term debt,Environmental Development Short-term interest and other debt charges,"Environmental Development Amortization, gain / loss, writedowns on capital assets",Other environmental development services,TOTAL ENVIRONMENTAL DEVELOPMENT SERVICES,Recreation facilities,Cultural buildings and facilities,Transfers to regional library,Other Transfers to Library ,Recreation Interest on long-term debt,Short-term interest and other debt charges,"Recreation Amortization, gain / loss, writedowns on capital assets",Other recreation and cultural services,TOTAL RECREATION AND CULTURAL SERVICES,Extraordinary or special revenue items ,Extraordinary or special expenditure items,Optional (supplementary) education contributions,TOTAL EXTRAORDINARY OR SPECIAL ITEMS,Water fund expenses,Water Fund Interest on long-term debt,"Water Fund Amortization, gain / loss, writedowns on capital assets",TOTAL WATER FUND,Electric fund expenses,Electric Fund Interest on long-term debt,"Electric Fund Amortization, gain / loss, writedowns on capital assets",TOTAL ELECTRIC FUND,TOTAL EXPENSES
Bridgewater,Town,2020-21,8576764,6736098,0,0,6736098,42722,0,42722,0,0,250,0,250,48604,0,0,48604,15404438,425119,1697678,0,0,2122797,733503,0,733503,-2098397,-119976,-63564,-2281937,15978801,29489,687888,13144,40470,741502,770991,0,0,0,0,75917,443374,42465,16755,0,67366,1055,334743,0,0,981675,75817,35191,54009,0,114571,224959,-8324,496223,531657,16436,69734,0,0,0,617827,708317,512907,1697286,149635,3068145,784292,0,0,22697954,49441,3720,144715,-855,27673,224694,1020342,118578,123657,0,1262577,-7505,4510,17080,446801,841061,2789218,4343626,825266,489757,1315023,19161,222,450501,230767,6359300,1137809,838108,0,0,201315,49319,17139,1878896,0,4122586,1314841,887965,0,0,0,13498,14392,957407,0,3188103,147876,0,0,18928,0,166804,487562,46001,0,0,942,646455,1180960,1823571,242540,50168,0,78178,0,648676,48740,2891873,0,0,0,0,0,0,0,0,0,0,0,0,20698844
Clark's Harbour,Town,2020-21,501996,448749,0,0,448749,16328,0,16328,0,0,0,0,0,3926,0,0,3926,970999,0,86110,0,0,86110,15129,0,15129,-119928,-9344,-16331,-145603,926635,30985,2084,0,0,2084,33069,0,0,6793,6793,0,0,0,0,0,0,0,0,0,0,0,540,1302,16657,0,6594,9833,38550,73476,189822,0,3564,0,0,0,193386,44193,58037,0,0,102230,0,0,0,1335589,19092,0,75696,715,0,95503,192246,600,12126,0,204972,0,2648,2071,21532,22649,349375,163100,0,51080,51080,0,0,0,18072,232252,71642,28475,0,0,0,0,0,72060,0,172177,135735,174525,0,0,0,0,0,42023,0,352283,0,0,0,0,0,0,0,19992,0,0,14519,1172,35683,58207,84989,5272,0,0,0,32601,0,181069,0,0,0,0,0,0,0,0,0,0,0,0,1322839
Digby,Town,2020-21,1669897,947320,34558,0,981878,9301,0,9301,0,0,0,0,0,13367,0,18855,32222,2693298,503506,264101,0,0,767607,95909,0,95909,-363585,-26270,-86391,-476246,3080568,52490,114100,6739,0,120839,173329,0,0,335581,335581,0,615,0,0,9693,0,1675,0,0,520,12503,3588,18578,32102,0,13402,32263,4995,104928,368558,0,16023,0,5462,0,390043,166386,408191,28000,0,602577,0,625587,0,5325116,27432,48,66280,1252,8772,103784,453863,20901,27079,0,501843,0,1105,0,14194,112592,733518,865370,0,157095,157095,16169,0,138552,125801,1302987,316102,218146,0,0,4000,8540,0,200310,0,747098,252411,313447,0,0,0,25151,0,198680,0,789689,0,0,0,0,0,0,18225,18269,0,0,5580,25299,67373,316125,35493,12703,0,1963,0,103985,0,470269,0,0,0,0,354443,0,151077,505520,0,0,0,0,4616454
Kentville,Town,2020-21,6141985,1883615,0,0,1883615,41961,85,42046,0,0,565,0,565,38022,0,741124,779146,8847357,119557,914346,668637,-668637,1033903,0,0,0,-1535807,-84887,-60526,-1681220,8200040,418029,183270,0,0,183270,601299,0,120285,91882,212167,37522,493192,0,16363,457173,0,0,4348,0,0,1008598,4922,22262,340819,0,489244,39381,511125,1407753,167850,8390,46558,0,0,0,222798,540815,11342,432682,0,984839,0,2016392,0,14653886,46648,725,154199,5126,47135,253833,866108,64076,91159,0,1021343,58243,4236,4429,618996,385236,2346316,2540482,0,165143,165143,12902,0,96088,224653,3039268,593514,773990,0,0,233496,58081,1533,865069,0,2525683,1090870,636545,0,0,0,5375,0,144015,0,1876805,0,0,0,0,6500,6500,234276,164843,34572,634,38644,196095,669064,1062048,87919,36948,0,28239,1441,377077,82027,1675699,0,0,0,0,940969,15705,470532,1427206,0,0,0,0,13566541
Lockeport,Town,2020-21,597178,401166,0,0,401166,17964,0,17964,0,0,0,0,0,4970,0,0,4970,1021278,0,17701,0,0,17701,52153,0,52153,-100985,-7436,-11002,-119423,971709,13779,1528,305,0,1833,15612,0,0,22937,22937,0,0,0,0,0,0,0,831,0,0,831,0,300,2275,0,3953,17852,39861,64241,158081,708,4741,0,0,0,163530,38736,95244,135945,0,269925,0,0,0,1508785,15904,116,47064,0,0,63084,245642,300,10234,0,256176,0,1743,0,6430,123246,450679,163100,0,36648,36648,85,0,12530,9752,222115,92547,39476,0,0,0,1765,0,72074,0,205862,59606,127752,0,0,0,1060,0,55074,0,243492,6146,28,0,1145,0,7319,0,0,0,0,0,35137,35137,97085,23435,0,0,3717,0,40513,0,164750,0,0,0,0,0,0,0,0,0,0,0,0,1329354
Lunenburg,Town,2020-21,3210958,1442293,89293,0,1531586,6690,0,6690,0,0,109,0,109,18113,0,0,18113,4767456,0,1184576,0,0,1184576,264441,0,264441,-851342,-41235,-49712,-942289,5274184,0,235832,5019,0,240851,240851,0,0,0,0,11054,0,0,81487,7566,0,2258,227640,0,0,330005,16559,8817,209007,0,49345,58744,529450,871922,50000,0,33009,0,0,0,83009,199958,721649,329310,55704,1306621,0,1542615,6558565,16207772,30036,1646,92661,9804,5606,139753,287190,35287,48101,0,370578,0,1104,0,37406,63667,612508,817717,340843,137656,478499,8263,0,129919,51562,1485960,291972,523260,0,0,0,15520,3193,253546,0,1087491,864944,217267,0,149730,149730,23849,0,386603,0,1642393,64912,0,0,0,0,64912,93239,290870,14157,100,200200,0,598566,574171,47180,18600,0,8315,1908,316478,109443,1076095,0,0,0,0,1011765,18494,296099,1326358,6198857,30126,208018,6437001,14331284
Mahone Bay,Town,2020-21,1567392,648460,656,0,649117,17756,0,17756,0,0,22,0,22,6087,0,0,6087,2240375,244837,0,0,0,244837,213963,-107331,106632,-422870,-20358,-13000,-456228,2135615,0,608,0,22148,22756,22756,0,0,156153,156153,1736,0,1428,0,715,0,0,50,0,0,3929,64750,525,41303,0,117997,12561,1555,238690,50000,939,12428,0,0,0,63367,81850,0,0,0,81850,14959,520347,2871154,6108820,19536,366,41259,15672,15935,92768,388174,108134,24602,1424,522334,0,0,5114,247985,0,868200,327301,177172,86333,263505,0,0,0,46492,637298,98409,136507,0,0,0,27583,0,371044,0,633542,155745,76515,1306,78594,79900,0,0,69535,0,381696,23292,0,0,0,0,23292,104086,10054,0,0,0,22394,136534,15308,8692,5712,0,0,0,0,54164,83876,0,0,0,0,0,23323,125038,148361,2475503,770,47440,2523713,5436512
Middleton,Town,2020-21,1639466,641266,13059,0,654325,3857,24,3881,0,0,857,0,857,9972,0,49890,59862,2358391,207722,421149,0,0,628871,120609,0,120609,-392448,-23386,-75565,-491399,2616472,30391,94522,23923,0,118445,148836,0,0,89999,89999,0,0,0,18562,0,0,0,1776,0,0,20338,2794,766,18595,0,694,25708,748,49305,338073,537,14299,0,31628,60276,444813,0,6385,580367,2051,588803,0,954876,0,4913442,16000,313,56501,712,0,73526,306993,18028,35246,0,360266,0,0,5345,19435,44391,502963,628777,0,148263,148263,2710,175,75649,50530,906104,239870,357740,0,0,21500,6589,-350,155534,0,780883,189240,136040,0,0,0,37439,-101,280130,0,642748,0,0,0,0,50000,50000,48588,63746,0,0,0,7486,119820,243607,26943,12300,0,0,77,41994,100,325021,0,0,0,0,588812,248,70229,659289,0,0,0,0,3986827
Mulgrave,Town,2020-21,315018,1050410,0,0,1050410,19061,331,19392,0,0,0,0,0,2213,16205,0,18418,1403238,393006,0,0,0,393006,6355,0,6355,-140366,-8797,-34266,-183429,1619170,0,1099,0,13333,14432,14432,0,0,0,0,0,0,0,0,0,0,0,32248,0,0,32248,709,80,36430,0,21569,43587,33607,135982,127508,826,8594,0,0,1000,137928,58730,13875,105520,0,178125,0,504817,0,2622702,12555,876,31401,83,7480,52395,293498,291220,16122,0,600840,7773,0,5812,4974,97288,769081,163100,0,70802,70802,372,0,14304,0,248578,236871,89299,0,0,0,2469,0,92392,0,421031,147964,48951,0,14022,14022,5940,0,64453,0,281330,0,0,0,0,0,0,0,0,0,0,0,0,0,116155,1253,5736,0,0,0,10254,0,133398,0,0,0,0,381486,34913,168524,584923,0,0,0,0,2438341
New Glasgow,Town,2020-21,8186400,5997400,0,0,5997400,41600,0,41600,0,0,0,0,0,55100,0,0,55100,14280500,562200,1132100,0,0,1694300,616400,0,616400,-1749600,-114600,-222700,-2086900,14504300,52800,10300,63500,0,73800,126600,0,0,777800,777800,77800,58700,0,78300,0,0,0,58500,0,0,273300,500,65900,107200,0,0,157000,37200,367800,1055400,1100,81000,0,3200,0,1140700,770500,139300,500000,504100,1913900,0,3542200,0,22646600,30400,1840,106500,2350,53810,194900,829400,101400,118600,129500,1178900,92000,49660,18740,246500,539700,2320400,4844100,825000,1088300,1913300,12600,0,276500,462625,7509125,1449300,1273800,0,0,41100,80300,0,1205800,0,4050300,1041900,603600,0,0,0,22100,0,155400,0,1823000,5000,0,0,0,0,5000,158400,0,0,0,0,0,158400,581275,84100,83400,0,41600,0,271400,1081000,2142775,0,0,0,0,2288400,80200,550000,2918600,0,0,0,0,20927600
Oxford,Town,2020-21,791169,1008396,0,0,1008396,8768,179,8947,0,0,2728,0,2728,2534,0,0,2534,1813774,0,181283,0,0,181283,37137,0,37137,-220188,-14627,-28677,-263492,1768702,24649,25386,0,0,25386,50035,0,0,58543,58543,1525,0,0,0,0,0,0,18517,0,0,20042,676,542,18783,20944,2515,38047,11596,93103,178171,0,7135,0,0,1000,186306,0,95494,2500,12772,110766,-34261,470254,0,2723490,9010,704,23129,2691,0,35534,290790,0,18892,0,309682,38044,4381,6225,23181,40506,457553,505604,0,129408,129408,10319,0,53411,22389,721131,330336,0,0,0,0,8331,0,146172,7599,492438,72946,126863,0,0,0,0,0,71311,0,271120,29493,601,0,6879,0,36973,15653,28995,0,0,0,0,44648,44352,26014,7680,0,2832,0,31528,8242,120648,0,0,0,0,316654,13381,83356,413391,0,0,0,0,2557902
Pictou,Town,2020-21,2189583,1141764,0,0,1141764,23713,0,23713,0,0,151,0,151,15721,0,0,15721,3370932,491981,496955,0,0,988936,0,42809,42809,-486828,-38437,-86930,-612195,3790482,125482,192682,7685,0,200367,325849,0,0,28222,28222,0,0,0,0,0,0,0,173893,0,0,173893,34,7326,253898,0,8416,133287,23490,426451,545521,1000,39534,0,0,30713,616768,217126,10000,9187,1766,238079,0,911609,0,6511353,30690,0,43186,0,0,73876,464328,261952,43654,0,769934,14663,0,18357,38116,17839,932785,662727,0,208658,208658,7435,0,43069,88599,1010488,360815,458413,0,0,21500,7998,0,246225,0,1094951,366950,222061,0,0,0,47677,0,555240,0,1191928,60573,0,0,0,0,60573,4554,0,0,0,0,90082,94636,325471,72472,33881,0,0,0,93162,131906,656892,0,0,0,0,729380,110426,334358,1174164,0,0,0,0,6216417
Port Hawkesbury,Town,2020-21,2616404,2180762,0,0,2180762,20962,0,20962,0,0,0,0,0,23046,0,0,23046,4841174,0,0,0,0,0,147534,0,147534,-635262,-38861,-64780,-738903,4249805,99215,597992,44148,0,642140,741355,0,0,425590,425590,7215,0,0,45912,0,0,23145,339692,0,0,415964,1401,8788,181971,0,23245,37753,83972,337130,298730,9346,40870,0,6737,0,355683,0,808558,1075206,56500,1940264,0,1169772,0,9635563,35990,75,67235,2250,0,105550,541376,196748,43617,70207,851948,8878,0,0,25295,319918,1311589,1063693,0,138941,138941,22860,0,50225,2518,1278237,169725,814800,68671,0,0,14012,0,346907,4007,1418122,325360,207439,0,44392,44392,21905,0,28909,1000,629005,0,0,0,0,0,0,67789,27900,0,0,271442,0,367131,1409325,0,21147,0,59061,0,481550,164100,2135183,-5,-11301,0,-11306,842763,24936,289741,1157440,0,0,0,0,8285401
Shelburne,Town,2020-21,1541084,710222,13161,0,723383,24514,24,24538,0,0,0,0,0,12341,0,0,12341,2301346,256975,335798,0,0,592773,63404,0,63404,-284440,-21034,-65139,-370613,2586910,8756,5327,439,0,5766,14522,0,0,74548,74548,0,0,0,0,0,0,0,0,0,307944,307944,780,12071,167776,0,15078,32252,49915,277872,359645,0,32611,0,0,0,392256,129260,227933,1000,72849,431042,0,489150,0,4574244,22511,279,56277,1005,7516,87588,522902,58806,27308,0,609016,-64785,3626,7742,2486,123424,769097,695795,0,131404,131404,3158,0,61141,35083,926581,101365,255696,0,100213,0,21783,0,209308,0,688365,197341,249514,0,0,0,28558,0,167602,0,643015,0,0,0,2837,29479,32316,2965,11842,258,0,5922,105999,126986,58604,21371,11652,0,12017,0,207212,0,310856,0,0,0,0,225484,33239,172400,431123,0,0,0,0,3928339
Stellarton,Town,2020-21,3320164,3400187,0,0,3400187,13730,0,13730,0,0,96,0,96,22796,0,6454,29250,6763427,0,0,0,0,0,132503,0,132503,-811728,-51331,-69273,-932332,5963598,32806,71260,74405,0,145665,178471,0,0,112775,112775,0,4849,0,0,0,0,13468,3928,0,0,22245,1180,9471,0,0,34675,24116,34876,104318,500684,11916,38723,0,0,0,551323,411067,94567,128873,0,634507,0,1421689,0,8988926,22887,0,61971,0,17853,102711,716311,10400,56590,0,783301,-8075,625,0,17311,154282,1050155,1823609,0,125293,125293,0,0,42434,8801,2000137,1217275,417000,0,0,20000,27816,0,926987,0,2609078,489510,274548,0,0,0,14107,0,156940,0,935105,0,0,0,0,0,0,54985,19785,116447,0,7669,64460,263346,649255,19766,41680,0,0,0,170914,21076,902691,0,0,0,0,864261,202769,564283,1631313,0,0,0,0,9391825
Stewiacke,Town,2020-21,1328792,335491,0,0,335491,21752,452,22204,0,0,3322,0,3322,7922,0,0,7922,1697731,96317,166707,92011,0,355035,104279,0,104279,-274800,-17153,-24282,-316235,1840810,2926,2478,0,0,2478,5404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4275,1733,5000,0,5367,7675,21469,45519,202349,0,7837,0,0,0,210186,79302,0,115918,0,195220,0,437993,0,2735132,12192,1928,48575,0,13428,76123,442282,3250,21545,0,467077,0,0,6537,9731,32360,591828,164708,90873,0,90873,0,0,0,18782,274363,207838,88579,0,0,0,0,0,216101,0,512518,89494,102427,0,0,0,0,0,89545,0,281466,0,0,0,0,0,0,7736,0,0,0,0,23381,31117,186013,34470,6995,0,0,1,40077,5444,273000,0,0,0,0,308893,0,76795,385688,0,0,0,0,2349980
Trenton,Town,2020-21,1685921,145186,0,0,145186,18834,0,18834,0,0,0,0,0,8870,0,0,8870,1858811,275853,0,0,0,275853,67322,0,67322,-371508,-26590,-62821,-460919,1741067,4572,738,0,0,738,5310,0,0,56906,56906,8144,0,0,0,0,0,0,169000,0,0,177144,2760,294,4600,0,6981,51113,301228,366976,420922,1259205,12371,0,0,0,1692498,218491,1234046,644765,0,2097302,0,348109,0,6485312,18510,1299,42000,0,8513,70322,552325,9010,32997,2118,596450,0,0,9894,63416,81026,821108,612728,0,71495,71495,7371,0,31654,2820,726068,560103,169585,0,0,9200,28405,0,281333,0,1048626,184710,163397,0,0,0,40005,0,132750,0,520862,0,0,0,0,0,0,73182,16495,0,0,0,1404,91081,589854,0,24257,0,11397,0,69399,0,694907,0,0,0,0,441802,0,43437,485239,0,0,0,0,4387891
Truro,Town,2020-21,11846194,9537516,0,194,9537710,17573,245,17818,6289,0,1114,0,7403,71821,0,0,71821,21480946,444668,994424,0,0,1439092,534449,0,534449,-2598048,-165507,-124669,-2888224,20566263,707550,52792,60122,0,112914,820464,0,0,362235,362235,177388,320421,0,2440,0,0,166094,944343,0,0,1610686,4779,100305,1368,0,101306,176772,323603,708133,1346638,18303,79052,0,15704,0,1459697,1127634,1000444,656148,0,2784226,0,3682079,0,31993783,54059,2809,165880,6713,9179,238640,2345816,217706,154173,0,2717695,1310,16836,9161,589401,421214,3994257,5709479,0,2105662,2105662,9476,0,273642,86764,8185023,1820839,2616171,0,0,0,14167,0,2016849,0,6468026,1516685,523796,0,0,0,0,0,306847,0,2347328,0,40251,0,0,0,40251,772623,195732,0,0,5372,180995,1154722,3155683,144484,81713,0,417479,0,950180,0,4749539,0,0,0,0,2034416,20356,538524,2593296,0,0,0,0,29532442
Westville,Town,2020-21,2726074,337623,0,0,337623,67048,158,67206,0,0,207,0,207,19328,0,0,19328,3150438,0,259679,0,0,259679,89559,0,89559,-435036,-36104,-81835,-552975,2946701,0,2844,5927,0,8771,8771,0,0,2077,2077,0,0,0,0,0,0,6643,13070,0,0,19713,3888,8005,62928,0,5665,38965,20365,139816,684391,917,18995,0,0,0,704303,109291,54150,117625,0,281066,0,770426,0,4872873,13472,0,42014,0,9228,64714,328863,17197,42949,0,389009,32200,8434,0,43166,224666,762189,1096367,0,101364,101364,1426,0,44769,13616,1257542,428770,185569,0,0,7400,9989,0,176925,0,808653,186437,226772,0,0,0,17267,0,119456,0,549932,0,0,0,0,38223,38223,81301,18685,0,0,0,1552,101538,168124,591,33493,0,0,0,22285,0,224493,0,0,0,0,898317,4338,111683,1014338,0,0,0,0,4756908
Wolfville,Town,2020-21,6361370,1242311,0,0,1242311,12442,0,12442,0,0,1194,0,1194,20489,0,0,20489,7637806,421514,428506,0,0,850020,521791,0,521791,-724380,-81695,-34781,-840856,8168761,19510,988557,0,0,988557,1008067,0,0,0,0,1650,319880,0,12131,0,0,4708,33797,0,0,372166,24085,37800,20020,0,43825,48314,6061,180105,69869,4447,36243,0,0,0,110559,0,608756,833414,95980,1538150,0,734417,0,12112225,37845,0,128205,1380,25426,192856,1125383,103301,77246,0,1305930,0,0,20702,147855,122000,1789343,1482470,0,340100,340100,3592,0,174911,140835,2141908,147123,1050581,0,0,174813,131408,0,804988,0,2308913,361482,449827,0,0,0,25942,0,230016,0,1067267,0,0,0,0,0,0,513883,29550,50,0,132431,62118,738032,927004,28898,24320,0,7324,0,37219,0,1024765,0,0,0,0,727800,19723,142104,889627,0,0,0,0,9959855
Yarmouth,Town,2020-21,4809438,5711271,0,0,5711271,10283,0,10283,0,0,0,0,0,49677,0,0,49677,10580669,536180,1384079,0,0,1920259,235171,0,235171,-1331860,-85403,-212176,-1629439,11106660,167562,820432,46821,0,867253,1034815,0,0,845235,845235,0,11093,16667,30866,572438,0,0,0,46433,52797,730294,45516,23498,691121,359760,119380,89428,192960,1521663,727970,15550,65518,0,244,0,809282,555272,3150068,3332441,666000,7703781,235797,2558135,0,26545662,55029,0,164405,-4236,82669,297867,1081287,224027,85951,0,1391265,48645,0,0,64256,102688,1904721,2674836,434753,1670052,2104805,0,0,245887,207720,5233248,916020,845660,0,0,137659,41237,0,1013970,0,2954546,1108469,1273681,0,0,0,0,0,815826,42280,3240256,0,0,0,0,0,0,281602,534400,0,0,235865,677154,1729021,813533,9143,44478,0,0,0,640302,78719,1586175,286075,1857298,0,2143373,1974867,0,358353,2333220,0,0,0,0,21124560
Annapolis,Rural Municipality,2020-21,11349235,853483,71815,9790,935088,521841,56283,578124,6236,12455,140333,131,159155,78974,0,0,78974,13100576,1608404,1331751,305163,-305163,2940155,1552419,0,1552419,-3852036,-254109,-132593,-4238738,13354412,101974,207585,12437,1249,221271,323245,0,0,0,0,0,410,93538,0,0,0,0,0,0,4919,98867,39253,17536,186167,0,58196,138852,177612,617616,811257,515247,49262,0,0,28626,1404392,846949,1009445,1149779,23169,3029342,0,1275196,0,20103070,77979,3246,397758,6755,39369,525107,1005048,160199,420392,108066,1693705,2200,14770,0,93230,1897301,4226313,2431796,884405,25576,909981,9287,0,28986,305335,3685385,80892,817892,0,0,560979,20447,0,300447,40000,1820657,905776,1860753,0,0,0,12966,0,537294,0,3316789,0,0,0,0,0,0,381386,60774,0,0,13954,0,456114,682142,0,120718,0,575,0,215123,455602,1474160,0,2314154,0,2314154,741568,38311,302752,1082631,0,0,0,0,18376204
Antigonish,Rural Municipality,2020-21,9251508,1250069,0,39223,1289292,668343,3496,671839,0,258279,116535,0,374814,64491,0,0,64491,11651944,1414931,0,0,0,1414931,522318,0,522318,-3706604,-206034,-68529,-3981167,9608026,4405,180090,0,0,180090,184495,0,0,0,0,0,0,0,0,898939,0,407606,3330,0,0,1309875,13040,24586,634357,0,90692,62503,148581,973759,0,7981,29651,0,26921,0,64553,644846,33529,1595625,0,2274000,0,1078412,0,15493120,50086,3951,240004,24920,13878,332839,1163622,143319,326079,0,1633020,25112,16747,140084,111735,717903,2977440,1493882,498282,721649,1219931,0,0,6736,57297,2777846,0,338284,0,0,0,6775,0,142995,0,488054,852900,1537637,0,0,0,59909,0,508739,0,2959185,111600,0,0,0,0,111600,0,299309,0,0,0,0,299309,648350,84724,131053,0,19791,0,30635,0,914553,0,0,0,0,1024892,35385,220932,1281209,0,0,0,0,11809196
Argyle,Rural Municipality,2020-21,4826562,1156447,12364,32,1168843,384301,10775,395076,13006,33767,6622,2398,55793,35347,188525,0,223872,6670146,39031,223287,440181,-439530,262969,209112,26871,235983,-1630968,-103722,-31356,-1766046,5403052,10956,132063,8346,0,140409,151365,0,0,114567,114567,0,0,0,0,0,0,0,0,69520,0,69520,14348,2615,3000,0,326642,55534,1227087,1629226,154923,15525,17871,0,0,0,188319,845119,0,0,0,845119,0,0,0,8401168,35648,229,177866,27810,0,241553,737112,159001,200047,102298,1198458,1756,9020,14814,4254,341735,1811590,921008,0,398300,398300,0,0,25468,520538,1865314,0,48868,198650,0,0,0,0,21627,569501,838646,240015,699696,0,0,0,3720,0,378568,450709,1772708,73893,0,0,22530,11392,107815,79837,55977,0,0,256603,542996,935413,322586,144921,54013,0,0,0,33366,1434,556320,-29008,0,0,-29008,0,0,0,0,0,0,0,0,7858798
Barrington,Rural Municipality,2020-21,3850417,1546910,0,0,1546910,250227,3542,253769,0,0,4452,0,4452,31420,29173,0,60593,5716141,637277,342945,0,0,980222,277849,14000,291849,-1360123,-88559,-30049,-1478731,5509481,47943,97325,0,2467,99792,147735,0,0,102639,102639,158197,0,0,0,0,0,0,124470,0,0,282667,54075,0,61576,0,59792,125039,135962,436444,151335,0,16748,0,30118,0,198201,333572,17570,262450,0,613592,0,0,0,7290759,31364,62,100774,4105,0,136305,1087909,100214,140002,0,1328125,-950,0,7313,54174,223775,1748742,978588,0,701306,701306,16379,0,5058,155752,1857083,0,470184,0,0,0,0,0,15015,0,485199,295103,826949,0,248610,248610,0,0,173420,0,1544082,123779,0,0,10725,0,134504,204797,117252,4388,0,90669,217892,634998,521876,40169,44470,0,3040,0,264327,0,873882,0,0,0,0,0,0,0,0,0,0,0,0,7278490
Chester,Rural Municipality,2020-21,10683569,1450734,0,8847,1459581,318198,26592,344790,4360,0,7119,0,11479,47235,683196,0,730431,13229850,3567331,0,1727757,-1736470,3558618,1930380,0,1930380,-5093419,-234295,-30614,-5358328,13360520,48403,90483,2836,12316,105635,154038,0,0,3150339,3150339,0,34368,0,0,0,0,0,50866,817212,0,902446,70330,14246,38336,0,358605,202290,705928,1389735,0,22565,54271,0,102314,0,179150,682510,0,152956,10500,845966,0,0,0,19982194,48883,2705,137502,10657,193128,392875,2960952,330431,354714,37024,3683121,10336,854,0,261754,0,4348940,1888942,0,377958,377958,0,0,11552,440706,2719158,0,1753325,0,0,0,2725,0,240397,0,1996447,618582,2623054,1066520,0,1066520,130914,0,1770924,0,6209994,0,0,0,0,0,0,453724,282981,72588,0,335752,154433,1299478,640421,0,68035,0,0,0,108379,0,816835,0,0,0,0,0,0,0,0,0,0,0,0,17390852
