Region,Region Type,Year,Residential Property Tax,Commercial Property Tax,Seasonal Property Tax,"Forest Property Tax (50,000 acres or more)",Total Commercial Property Revenue,Resource Taxable assessments,"Forest property tax (less than 50,000 acres)",Total Resource Revenue,Recreation property tax,Wind farm payment from Province of NS,Farm property acreage payment from Province of NS,Conservation payment from Province of NS,Total Other Assessable Property Tax Revenue,Bell Aliant - based on revenues,Wind farm taxes from developers,Other special tax agreements or legislation,Total Special Tax Agreement Revenue,Subtotal Assessable Property,"Area rates, uniform charges, and special assessments",Sewer rates/charges,Taxes and rates collected for other Governments/ Agencies,Less: Transmission of taxes and rates collected for other Govs/Agencies,"Total Other Rates, Charges and Assessments",Deed transfer tax,Other Taxes,Total Other Tax Revenue,Appropriations to regional school board,Transfer to correctional services,Deficit of Regional Housing Authority,Total Expenditures as a Reduction of Tax Revenue,NET PROPERTY TAXES AND PAYMENTS IN LIEU OF TAXES,Federal government and federal government agencies Grant in Lieu,PILT payment,Fire protection,Other Grant in Lieu,Total Provincial Government and Agencies Grants in Lieu of Taxes,TOTAL GRANTS IN LIEU OF TAXES,Service Provided to Federal government,Service Provided to Provincial government,Service Provided to Other local governments,TOTAL SERVICES PROVIDED TO OTHER GOVERNMENTS,General government services,Protective services,Transportation services - Transit,Transportation services - Other,Environmental health services,Public health services,Environmental development services,Recreation and cultural services,Wind power,Other services,TOTAL SALES OF SERVICES,Licenses and permits,Fines,Rentals,Concessions and franchises,Return on investments,Penalties and interest on taxes,Miscellaneous,TOTAL OTHER REVENUE FROM OWN SOURCES,Municipal Grants Act - Equalization and Town Foundation,NSPI - Grant in lieu of taxes,NSPI - HST offset,Federal government and federal government agencies Unconditional Transfers,Provincial government and provincial government agencies,Other Unconditional Transfers,TOTAL UNCONDITIONAL TRANSFERS FROM OTHER GOVERNMENTS,Gas tax revenues,Federal government and federal government agencies Conditional Transfers,Provincial government and provincial agencies,Other local governments Conditional Transfers,TOTAL CONDITIONAL TRANSFERS FROM OTHER GOVERNMENTS,Net Income from Government Business Enterprises,Water Fund Revenues,Electric Fund Revenues,TOTAL REVENUE,Mayor/Warden Remuneration,Mayor/Warden Wxpenses,Council Remuneration,Council Expenses,Other legislative services,Total Legislative Expenses,General administrative and financial management services,Tax rebates or cancellations (MGA),Transfer for assessment services,Other taxation,Total General Administrative Expenses,Valuation Allowances,General Gov Interest on long-term debt,General Gov Short-term interest and other debt charges,"General gov amortization, gain / loss, writedowns on capital assets",Other general government services,TOTAL GENERAL GOVERNMENT SERVICES,Police protection,Water supply and hydrants,Other fire protection,Total Fire Protection,Protective Services Interest on long-term debt,Protective Services Short-term interest and other debt charges,"Protective Services Amortization, gain / loss, writedowns on capital assets",Other protective services,TOTAL PROTECTIVE SERVICES,Common services,Road transport,Air transport,Water transport,Public transit,Transportation Interest on long-term debt,Transportation Short-term interest and other debt charges,"Transportation Amortization, gain / loss, writedowns on capital assets",Other transportation services,TOTAL TRANSPORTATION SERVICES,Sewage collection and disposal,Garbage and waste collection and disposal,Transfer to the capital reserve for landfill closure/ post-closure costs,Other current expenditures for landfill costs,Total Municipal Landfill Expenses,Environmental Health Interest on long-term debt,Environmental Health Short-term interest and other debt charges,"Environmental Health Amortization, gain / loss, writedowns on capital assets",Other environmental health services,TOTAL ENVIRONMENTAL HEALTH SERVICES,Public Health,Public Health Interest on long-term debt,Public health Short-term interest and other debt charges,"Public Health Amortization, gain / loss, writedowns on capital assets",Other public health services,TOTAL PUBLIC HEALTH SERVICES,Environmental planning and zoning,Community development,Environmental Development Interest on long-term debt,Environmental Development Short-term interest and other debt charges,"Environmental Development Amortization, gain / loss, writedowns on capital assets",Other environmental development services,TOTAL ENVIRONMENTAL DEVELOPMENT SERVICES,Recreation facilities,Cultural buildings and facilities,Transfers to regional library,Other Transfers to Library ,Recreation Interest on long-term debt,Short-term interest and other debt charges,"Recreation Amortization, gain / loss, writedowns on capital assets",Other recreation and cultural services,TOTAL RECREATION AND CULTURAL SERVICES,Extraordinary or special revenue items ,Extraordinary or special expenditure items,Optional (supplementary) education contributions,TOTAL EXTRAORDINARY OR SPECIAL ITEMS,Water fund expenses,Water Fund Interest on long-term debt,"Water Fund Amortization, gain / loss, writedowns on capital assets",TOTAL WATER FUND,Electric fund expenses,Electric Fund Interest on long-term debt,"Electric Fund Amortization, gain / loss, writedowns on capital assets",TOTAL ELECTRIC FUND,TOTAL EXPENSES
Digby,Town,2021-22,1690796,903330,68771,0,972101,9229,0,9229,0,0,0,0,0,12966,0,49837,62803,2734929,514134,235767,0,0,749901,212536,0,212536,-367138,-25938,-80000,-473076,3224290,49627,99952,6739,0,106691,156318,0,0,209497,209497,0,1973,0,0,9388,0,4000,0,0,505,15866,5724,7913,41698,0,14926,24461,11464,106186,737116,0,21171,0,5809,0,764096,336991,146740,7000,3000,493731,0,621968,0,5591952,27514,37,76934,468,13478,118431,455850,17766,26501,0,500117,0,981,0,16389,142505,778423,908050,0,171324,171324,14680,0,141359,133384,1368797,357615,359388,0,0,4000,7277,0,216909,0,945189,273949,327372,0,0,0,23531,0,210204,0,835056,0,0,0,0,0,0,12816,26402,0,0,5580,74505,119303,342020,39723,12703,0,1772,0,81720,0,477938,0,0,0,0,406218,0,146939,553157,0,0,0,0,5077863
Kentville,Town,2021-22,6325312,1895767,0,0,1895767,43250,73,43323,0,0,569,0,569,36156,0,745619,781775,9046746,117041,856115,677945,-677945,973156,0,0,0,-1609884,-86599,-65264,-1761747,8258155,386292,182079,0,0,182079,568371,0,137515,90715,228230,38535,499878,0,1635,428057,0,0,4348,0,0,972453,6286,25530,330006,0,430783,49957,968252,1810814,335700,8215,45996,0,0,0,389911,304937,35814,156868,0,497619,0,1997904,0,14723457,47620,2774,157410,6746,16448,230998,866280,60971,90941,0,1018192,73819,4401,7152,407409,366629,2108600,2595029,0,174447,174447,4120,904,121342,224060,3119902,728696,932842,0,0,270005,50097,828,914038,0,2896506,1077725,670227,0,0,0,5340,265,145764,0,1899321,0,0,0,0,11500,11500,245819,164320,31230,0,50523,192678,684570,1163915,86867,42800,0,27882,599,384054,86168,1792285,0,0,0,0,1130300,7524,476173,1613997,0,0,0,0,14126681
Lockeport,Town,2021-22,612931,394347,0,0,394347,18740,0,18740,0,0,0,0,0,4879,0,0,4879,1030897,0,16329,0,0,16329,37425,0,37425,-102900,-7304,-36069,-146273,938378,13744,1528,299,0,1827,15571,0,0,24031,24031,0,0,0,0,0,0,0,1767,0,0,1767,25,0,4295,0,0,11195,66997,82512,316162,716,3582,0,0,0,320460,79392,5438,140507,0,225337,0,0,0,1608056,16555,311,46707,90,0,63663,182273,300,10098,0,192671,0,2005,0,6429,31617,296385,171130,0,45716,45716,59,0,55324,10359,282588,120465,59609,0,0,0,1502,0,72048,0,253624,105889,157561,0,0,0,1272,0,20161,0,284883,5881,0,0,1145,0,7026,0,0,0,0,0,89089,89089,114747,20682,0,0,3431,0,48441,0,187301,0,0,0,0,0,0,0,0,0,0,0,0,1400896
Lunenburg,Town,2021-22,3377983,1418384,100566,0,1518950,10352,0,10352,0,0,110,0,110,17511,0,0,17511,4924906,0,1118454,0,0,1118454,565751,0,565751,-885976,-41554,-26510,-954040,5655071,0,264259,5019,0,269278,269278,0,0,0,0,10597,32358,0,136210,19143,0,2122,262197,0,0,462627,20396,2780,307237,0,64451,51408,245589,691861,100000,0,28148,0,0,0,128148,410703,14750,46250,10048,481751,0,1568709,6772703,16030148,30357,1418,99604,2817,10612,144808,372779,34643,47826,0,455248,0,378,0,42869,33740,677043,858212,330815,144338,475153,11967,0,188663,42489,1576484,352291,705263,0,0,0,17699,4654,277231,0,1357138,934724,220468,0,158532,158532,22197,294,367140,0,1703355,52261,0,0,0,0,52261,180497,365197,12725,33,220356,0,778808,587352,49517,18600,0,7309,1685,139463,139491,943417,0,0,0,0,1081398,17052,301340,1399790,6255872,17802,214523,6488197,14976493
Mahone Bay,Town,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middleton,Town,2021-22,1685804,597432,10595,0,608027,3890,25,3915,0,0,863,0,863,9526,0,67174,76700,2375309,199236,437462,0,0,636698,178195,0,178195,-393468,-23323,-178123,-594914,2595288,28524,91547,23923,0,115470,143994,0,0,92651,92651,0,0,0,25619,0,0,0,16334,0,0,41953,3073,1610,19990,0,7064,34611,1929,68277,676146,543,14660,0,21555,5950,718854,758737,4836,85987,2000,851560,0,626377,0,5138954,16216,386,57265,659,0,74526,336849,16160,23216,0,376225,0,0,9319,20458,62038,542566,660860,0,135530,135530,1617,0,128091,53580,979678,376979,407252,0,0,21500,5101,0,123639,0,934471,225949,110317,0,0,0,36157,0,228557,0,600980,0,0,0,0,3000,3000,54379,70140,0,0,441,7082,132042,335584,20838,12300,0,0,0,40514,1861,411097,0,0,0,0,462040,96,60807,522943,0,0,0,0,4126777
Mulgrave,Town,2021-22,314574,1030938,0,0,1030938,19560,331,19891,0,0,0,0,0,2213,16387,0,18600,1384003,404276,0,0,0,404276,5139,0,5139,-132900,-8459,-35600,-176959,1616459,0,1221,0,12344,13565,13565,0,0,0,0,0,0,0,0,0,0,0,134739,0,0,134739,577,0,35587,0,21965,48074,104020,210223,255016,836,7786,0,0,1000,264638,121142,60790,39876,0,221808,0,516529,0,2977961,12555,373,31524,183,2825,47460,274375,283372,15548,0,573295,13412,0,5033,3362,130504,773066,171130,0,66155,66155,65,0,14305,0,251655,291863,106479,0,0,0,2181,0,112220,0,512743,148730,48921,0,21210,21210,5700,0,63177,0,287738,0,0,0,0,0,0,0,0,0,0,0,0,0,171637,60,5222,0,0,0,8081,0,185000,0,0,0,0,428385,33672,61224,523281,0,0,0,0,2533483
New Glasgow,Town,2021-22,8340000,6014700,0,0,6014700,41900,0,41900,0,0,0,0,0,52000,0,0,52000,14448600,561200,1088200,0,0,1649400,659100,0,659100,-1761000,-113300,-242900,-2117200,14639900,50300,10000,63100,0,73100,123400,0,0,813200,813200,66300,74400,0,67900,0,0,0,31100,24400,0,264100,0,55900,105200,0,0,159200,46900,367200,2110900,1100,76600,0,3100,0,2191700,1567100,359500,500000,0,2426600,0,3555600,0,24381700,30400,1220,114650,4220,2850,153340,1034900,95300,115700,86300,1332200,43100,44420,11280,267100,620200,2471640,4873500,0,1214100,1214100,11710,0,357300,25800,6482410,1720200,1371100,0,0,41100,69057,0,1178000,0,4379457,1045000,611000,0,0,0,19462,0,155800,0,1831262,5000,0,0,0,0,5000,210800,0,0,0,0,0,210800,584000,84100,88100,0,36416,0,247700,1018915,2059231,0,10790,0,10790,2495400,77500,570700,3143600,0,0,0,0,20594190
Oxford,Town,2021-22,798068,1011625,0,0,1011625,8963,179,9142,0,0,2748,0,2748,4194,0,0,4194,1825777,0,181900,0,0,181900,78360,0,78360,-223368,-14478,-30028,-267874,1818163,23532,23887,0,0,23887,47419,0,0,59363,59363,2600,0,0,0,0,0,0,35201,0,0,37801,827,38,20583,22070,1568,41078,8286,94450,356342,0,10983,0,0,1000,368325,0,322824,9141,48549,380514,101908,529393,0,3437336,9011,540,25232,591,0,35374,224195,0,18513,0,242708,-11967,7507,6074,23181,32788,335665,497656,0,108851,108851,8118,0,33059,19399,667083,434192,0,0,0,0,12485,0,144341,7041,598059,85943,126985,0,0,0,0,0,71311,0,284239,28634,440,0,6879,0,35953,15643,25392,0,0,0,0,41035,155030,24370,9600,0,2423,0,31528,11173,234124,0,53597,0,53597,366109,21504,84069,471682,0,0,0,0,2721437
Pictou,Town,2021-22,2235323,1239526,0,0,1239526,23667,0,23667,0,0,136,0,136,14600,0,0,14600,3513252,487441,487486,0,0,974927,0,42719,42719,-507660,-28984,-212055,-748699,3782199,123460,192635,19521,0,212156,335616,0,0,18388,18388,0,0,0,0,0,0,0,197625,0,0,197625,6162,1403,280472,0,6772,113761,30562,439132,1091042,1011,37831,0,0,75695,1205579,443230,170000,144094,50032,807356,0,938634,0,7724529,20483,0,54410,1326,0,76219,618991,283970,42866,0,945827,-17515,1704,17041,35928,1449,1060653,1053307,0,188533,188533,8679,0,47216,101841,1399576,428133,432861,0,0,21500,6675,0,315242,0,1204411,448582,219837,0,0,0,42904,0,327402,0,1038725,43873,0,0,0,0,43873,54733,0,0,0,0,99113,153846,312267,113034,33841,0,0,0,73189,138760,671092,0,12039,0,12039,711046,50423,341694,1103163,0,0,0,0,6687378
